Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
The Category of Each Member in the Store,the-category-of-each-member-in-the-store,2194,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Medium,73.1,3514,2570,,23,4,,,
Minimum Cost to Separate Sentence Into Rows,minimum-cost-to-separate-sentence-into-rows,2082,,"Array,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz",Medium,53.0,1733,919,,23,8,Create an array storing all of the words in sentence separated. Try dynamic programming. Build a dp array where dp[i] represents the minimum total cost for the first i + 1 words.,418,Sentence Screen Fitting
Kth Distinct String in an Array,kth-distinct-string-in-an-array,2163,"A distinct string is a string that is present only once in an array. Given an array of strings arr, and an integer k, return the kth distinct string present in arr. If there are fewer than k distinct strings, return an empty string """". Note that the strings are considered in the order in which they appear in the array. ","Array,Hash Table,String,Counting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDYy",Easy,72.9,29728,21680,,288,6,Try 'mapping' the strings to check if they are unique or not.,2190,Count Common Words With One Occurrence
Two Best Non-Overlapping Events,two-best-non-overlapping-events,2164,"You are given a 0-indexed 2D integer array of events where events[i] = [startTimei, endTimei, valuei]. The ith event starts at startTimei and ends at endTimei, and if you attend this event, you will receive a value of valuei. You can choose at most two non-overlapping events to attend such that the sum of their values is maximized. Return this maximum sum. Note that the start time and end time is inclusive: that is, you cannot attend two events where one of them starts and the other ends at the same time. More specifically, if you attend an event with end time t, the next event must start at or after t + 1. ","Array,Binary Search,Dynamic Programming,Sorting,Heap (Priority Queue)","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUw",Medium,43.1,19427,8367,,389,7,How can sorting the events on the basis of their start times help? How about end times? How can we quickly get the maximum score of an interval not intersecting with the interval we chose?,"1352,1851","Maximum Profit in Job Scheduling,Maximum Number of Events That Can Be Attended II"
Plates Between Candles,plates-between-candles,2165,"There is a long table with a line of plates and candles arranged on top of it. You are given a 0-indexed string s consisting of characters '*' and '|' only, where a '*' represents a plate and a '|' represents a candle. You are also given a 0-indexed 2D integer array queries where queries[i] = [lefti, righti] denotes the substring s[lefti...righti] (inclusive). For each query, you need to find the number of plates between candles that are in the substring. A plate is considered between candles if there is at least one candle to its left and at least one candle to its right in the substring. Return an integer array answer where answer[i] is the answer to the ith query. ","Array,String,Binary Search,Prefix Sum","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjYxMDY4",Medium,46.0,22217,10217,,381,10,"Can you find the indices of the most left and right candles for a given substring, perhaps by using binary search (or better) over an array of indices of all the bars? Once the indices of the most left and right bars are determined, how can you efficiently count the number of plates within the range? Prefix sums?","34,1281","Find First and Last Position of Element in Sorted Array,Can Make Palindrome from Substring"
Number of Valid Move Combinations On Chessboard,number-of-valid-move-combinations-on-chessboard,2166,"There is an 8 x 8 chessboard containing n pieces (rooks, queens, or bishops). You are given a string array pieces of length n, where pieces[i] describes the type (rook, queen, or bishop) of the ith piece. In addition, you are given a 2D integer array positions also of length n, where positions[i] = [ri, ci] indicates that the ith piece is currently at the 1-based coordinate (ri, ci) on the chessboard. When making a move for a piece, you choose a destination square that the piece will travel toward and stop on. You must make a move for every piece on the board simultaneously. A move combination consists of all the moves performed on all the given pieces. Every second, each piece will instantaneously travel one square towards their destination if they are not already at it. All pieces start traveling at the 0th second. A move combination is invalid if, at a given time, two or more pieces occupy the same square. Return the number of valid move combinations​​​​​. Notes: ","Array,String,Backtracking,Simulation","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjYxMDU1",Hard,58.7,4150,2435,,32,176,"N is small, we can generate all possible move combinations. For each possible move combination, determine which ones are valid.",,
Smallest Index With Equal Value,smallest-index-with-equal-value,2181,"Given a 0-indexed integer array nums, return the smallest index i of nums such that i mod 10 == nums[i], or -1 if such index does not exist. x mod y denotes the remainder when x is divided by y. ",Array,VG9waWNUYWdOb2RlOjU=,Easy,73.2,32095,23484,,144,67,"Starting with i=0, check the condition for each index. The first one you find to be true is the smallest index.",,
Find the Minimum and Maximum Number of Nodes Between Critical Points,find-the-minimum-and-maximum-number-of-nodes-between-critical-points,2182,"A critical point in a linked list is defined as either a local maxima or a local minima. A node is a local maxima if the current node has a value strictly greater than the previous node and the next node. A node is a local minima if the current node has a value strictly smaller than the previous node and the next node. Note that a node can only be a local maxima/minima if there exists both a previous node and a next node. Given a linked list head, return an array of length 2 containing [minDistance, maxDistance] where minDistance is the minimum distance between any two distinct critical points and maxDistance is the maximum distance between any two distinct critical points. If there are fewer than two critical points, return [-1, -1]. ",Linked List,VG9waWNUYWdOb2RlOjc=,Medium,57.7,25922,14965,,248,12,"The maximum distance must be the distance between the first and last critical point. For each adjacent critical point, calculate the difference and check if it is the minimum distance.",,
Minimum Operations to Convert Number,minimum-operations-to-convert-number,2183,"You are given a 0-indexed integer array nums containing distinct numbers, an integer start, and an integer goal. There is an integer x that is initially set to start, and you want to perform operations on x such that it is converted to goal. You can perform the following operation repeatedly on the number x: If 0 <= x <= 1000, then for any index i in the array (0 <= i < nums.length), you can set x to any of the following: Note that you can use each nums[i] any number of times in any order. Operations that set x to be out of the range 0 <= x <= 1000 are valid, but no more operations can be done afterward. Return the minimum number of operations needed to convert x = start into goal, and -1 if it is not possible. ","Array,Breadth-First Search","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjIy",Medium,46.1,20684,9528,,345,19,"Once x drops below 0 or goes above 1000, is it possible to continue performing operations on x? How can you use BFS to find the minimum operations?",1776,Minimum Operations to Reduce X to Zero
Check if an Original String Exists Given Two Encoded Strings,check-if-an-original-string-exists-given-two-encoded-strings,2184,"An original string, consisting of lowercase English letters, can be encoded by the following steps: For example, one way to encode an original string ""abcdefghijklmnop"" might be: Given two encoded strings s1 and s2, consisting of lowercase English letters and digits 1-9 (inclusive), return true if there exists an original string that could be encoded as both s1 and s2. Otherwise, return false. Note: The test cases are generated such that the number of consecutive digits in s1 and s2 does not exceed 3. ","String,Dynamic Programming","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz",Hard,40.0,13173,5275,,150,83,"For s1 and s2, divide each into a sequence of single alphabet strings and digital strings. The problem now becomes comparing if two sequences are equal. A single alphabet string has no variation, but a digital string has variations. For example: ""124"" can be interpreted as 1+2+4, 12+4, 1+24, and 124 wildcard characters. There are four kinds of comparisons: a single alphabet vs another; a single alphabet vs a number, a number vs a single alphabet, and a number vs another number. In the case of a number vs another (a single alphabet or a number), can you decrease the number by the min length of both? There is a recurrence relation in the search which ends when either a single alphabet != another, or one sequence ran out, or both sequences ran out.","408,1781","Valid Word Abbreviation,Check If Two String Arrays are Equivalent"
