Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
Hopper Company Queries III,hopper-company-queries-iii,1795,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Hard,67.2,6002,4031,,16,41,,"262,1779,1785,2376","Trips and Users,Hopper Company Queries I,Hopper Company Queries II,Number of Times a Driver Was a Passenger"
Defuse the Bomb,defuse-the-bomb,1755,"You have a bomb to defuse, and your time is running out! Your informer will provide you with a circular array code of length of n and a key k. To decrypt the code, you must replace every number. All the numbers are replaced simultaneously. As code is circular, the next element of code[n-1] is code[0], and the previous element of code[0] is code[n-1]. Given the circular array code and an integer key k, return the decrypted code to defuse the bomb! ",Array,VG9waWNUYWdOb2RlOjU=,Easy,60.8,37170,22582,,414,45,"As the array is circular, use modulo to find the correct index. The constraints are low enough for a brute-force solution.",,
Minimum Deletions to Make String Balanced,minimum-deletions-to-make-string-balanced,1756,"You are given a string s consisting only of characters 'a' and 'b'​​​​. You can delete any number of characters in s to make s balanced. s is balanced if there is no pair of indices (i,j) such that i < j and s[i] = 'b' and s[j]= 'a'. Return the minimum number of deletions needed to make s balanced. ","String,Dynamic Programming,Stack","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE1",Medium,56.0,33672,18869,,682,19,You need to find for every index the number of Bs before it and the number of A's after it You can speed up the finding of A's and B's in suffix and prefix using preprocessing,2243,Check if All A's Appears Before All B's
Minimum Jumps to Reach Home,minimum-jumps-to-reach-home,1757,"A certain bug's home is on the x-axis at position x. Help them get there from position 0. The bug jumps according to the following rules: The bug may jump forward beyond its home, but it cannot jump to positions numbered with negative integers. Given an array of integers forbidden, where forbidden[i] means that the bug cannot jump to the position forbidden[i], and integers a, b, and x, return the minimum number of jumps needed for the bug to reach its home. If there is no possible sequence of jumps that lands the bug on position x, return -1. ","Array,Dynamic Programming,Breadth-First Search","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjIy",Medium,27.1,76400,20667,,772,160,Think of the line as a graph to handle the no double back jumps condition you can handle it by holding the state of your previous jump,,
Distribute Repeating Integers,distribute-repeating-integers,1758,"You are given an array of n integers, nums, where there are at most 50 unique values in the array. You are also given an array of m customer order quantities, quantity, where quantity[i] is the amount of integers the ith customer ordered. Determine if it is possible to distribute nums such that: Return true if it is possible to distribute nums according to the above conditions. ","Array,Dynamic Programming,Backtracking,Bit Manipulation,Bitmask","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjYxMDc4",Hard,40.3,19494,7859,,210,14,"Count the frequencies of each number. For example, if nums = [4,4,5,5,5], frequencies = [2,3]. Each customer wants all of their numbers to be the same. This means that each customer will be assigned to one number. Use dynamic programming. Iterate through the numbers' frequencies, and choose some subset of customers to be assigned to this number.",,
Design an Ordered Stream,design-an-ordered-stream,1775,"There is a stream of n (idKey, value) pairs arriving in an arbitrary order, where idKey is an integer between 1 and n and value is a string. No two pairs have the same id. Design a stream that returns the values in increasing order of their IDs by returning a chunk (list) of values after each insertion. The concatenation of all the chunks should result in a list of the sorted values. Implement the OrderedStream class:  Example:   Constraints:","Array,Hash Table,Design,Data Stream","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDYz",Easy,83.7,42667,35708,,200,1698,"Maintain the next id that should be outputted. Maintain the ids that were inserted in the stream. Per each insert, make a loop where you check if the id that has the turn has been inserted, and if so increment the id that has the turn and continue the loop, else break.",,
Determine if Two Strings Are Close,determine-if-two-strings-are-close,1777,"Two strings are considered close if you can attain one from the other using the following operations: You can use the operations on either string as many times as necessary. Given two strings, word1 and word2, return true if word1 and word2 are close, and false otherwise. ","Hash Table,String,Sorting","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDQ5",Medium,54.5,72085,39305,,666,36,Operation 1 allows you to freely reorder the string. Operation 2 allows you to freely reassign the letters' frequencies.,"889,1369,1469","Buddy Strings,Minimum Swaps to Make Strings Equal,Minimum Number of Steps to Make Two Strings Anagram"
Minimum Operations to Reduce X to Zero,minimum-operations-to-reduce-x-to-zero,1776,"You are given an integer array nums and an integer x. In one operation, you can either remove the leftmost or the rightmost element from the array nums and subtract its value from x. Note that this modifies the array for future operations. Return the minimum number of operations to reduce x to exactly 0 if it is possible, otherwise, return -1. ","Array,Hash Table,Binary Search,Sliding Window,Prefix Sum","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjU1ODIx,VG9waWNUYWdOb2RlOjYxMDY4",Medium,33.5,136320,45728,,1552,28,"Think in reverse; instead of finding the minimum prefix + suffix, find the maximum subarray. Finding the maximum subarray is standard and can be done greedily.","209,560,2183,2290","Minimum Size Subarray Sum,Subarray Sum Equals K,Minimum Operations to Convert Number,Removing Minimum Number of Magic Beans"
Maximize Grid Happiness,maximize-grid-happiness,1778,"You are given four integers, m, n, introvertsCount, and extrovertsCount. You have an m x n grid, and there are two types of people: introverts and extroverts. There are introvertsCount introverts and extrovertsCount extroverts. You should decide how many people you want to live in the grid and assign each of them one grid cell. Note that you do not have to have all the people living in the grid. The happiness of each person is calculated as follows: Neighbors live in the directly adjacent cells north, east, south, and west of a person's cell. The grid happiness is the sum of each person's happiness. Return the maximum possible grid happiness. ","Dynamic Programming,Bit Manipulation,Memoization,Bitmask","VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjMz,VG9waWNUYWdOb2RlOjYxMDc4",Hard,37.5,9572,3591,,217,47,"For each cell, it has 3 options, either it is empty, or contains an introvert, or an extrovert. You can do DP where you maintain the state of the previous row, the number of remaining introverts and extroverts, the current row and column, and try the 3 options for each cell. Assume that the previous columns in the current row already belong to the previous row.",,
Correct a Binary Tree,correct-a-binary-tree,1796,,"Hash Table,Tree,Depth-First Search,Breadth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjYxMDU3",Medium,72.7,14345,10429,,163,23,"If you traverse the tree from right to left, the invalid node will point to a node that has already been visited.","114,766","Flatten Binary Tree to Linked List,Flatten a Multilevel Doubly Linked List"
