Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
IP to CIDR,ip-to-cidr,752,,"String,Bit Manipulation","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE5",Medium,54.9,25225,13856,,30,79,"Convert the ip addresses to and from (long) integers.  You want to know what is the most addresses you can put in this block starting from the ""start"" ip, up to n.  It is the smallest between the lowest bit of start and the highest bit of n.  Then, repeat this process with a new start and n.","93,468","Restore IP Addresses,Validate IP Address"
Open the Lock,open-the-lock,753,"You have a lock in front of you with 4 circular wheels. Each wheel has 10 slots: '0', '1', '2', '3', '4', '5', '6', '7', '8', '9'. The wheels can rotate freely and wrap around: for example we can turn '9' to be '0', or '0' to be '9'. Each move consists of turning one wheel one slot. The lock initially starts at '0000', a string representing the state of the 4 wheels. You are given a list of deadends dead ends, meaning if the lock displays any of these codes, the wheels of the lock will stop turning and you will be unable to open it. Given a target representing the value of the wheels that will unlock the lock, return the minimum total number of turns required to open the lock, or -1 if it is impossible. ","Array,Hash Table,String,Breadth-First Search","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjIy",Medium,55.3,286226,158379,,2748,93,"We can think of this problem as a shortest path problem on a graph: there are `10000` nodes (strings `'0000'` to `'9999'`), and there is an edge between two nodes if they differ in one digit, that digit differs by 1 (wrapping around, so `'0'` and `'9'` differ by 1), and if *both* nodes are not in `deadends`.",,
Cracking the Safe,cracking-the-safe,754,"There is a safe protected by a password. The password is a sequence of n digits where each digit can be in the range [0, k - 1]. The safe has a peculiar way of checking the password. When you enter in a sequence, it checks the most recent n digits that were entered each time you type a digit. Return any string of minimum length that will unlock the safe at some point of entering it. ","Depth-First Search,Graph,Eulerian Circuit","VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjI0,VG9waWNUYWdOb2RlOjYxMDc0",Hard,54.6,83640,45652,,194,36,"We can think of this problem as the problem of finding an Euler path (a path visiting every edge exactly once) on the following graph: there are $$k^{n-1}$$ nodes with each node having $$k$$ edges.  It turns out this graph always has an Eulerian circuit (path starting where it ends.)

We should visit each node in ""post-order"" so as to not get stuck in the graph prematurely.",,
Reach a Number,reach-a-number,755,"You are standing at position 0 on an infinite number line. There is a destination at position target. You can make some number of moves numMoves so that: Given the integer target, return the minimum number of moves required (i.e., the minimum numMoves) to reach the destination. ","Math,Binary Search","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEx",Medium,41.8,91375,38208,,1102,660,,,
Pour Water,pour-water,756,,"Array,Simulation","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDU1",Medium,45.5,65750,29923,,258,601,,42,Trapping Rain Water
Pyramid Transition Matrix,pyramid-transition-matrix,757,"You are stacking blocks to form a pyramid. Each block has a color, which is represented by a single letter. Each row of blocks contains one less block than the row beneath it and is centered on top. To make the pyramid aesthetically pleasing, there are only specific triangular patterns that are allowed. A triangular pattern consists of a single block stacked on top of two blocks. The patterns are given as a list of three-letter strings allowed, where the first two characters of a pattern represent the left and right bottom blocks respectively, and the third character is the top block. You start with a bottom row of blocks bottom, given as a single string, that you must use as the base of the pyramid. Given bottom and allowed, return true if you can build the pyramid all the way to the top such that every triangular pattern in the pyramid is in allowed, or false otherwise. ","Bit Manipulation,Depth-First Search,Breadth-First Search","VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy",Medium,54.6,49490,27038,,450,427,,,
Set Intersection Size At Least Two,set-intersection-size-at-least-two,759,"An integer interval [a, b] (for integers a < b) is a set of all consecutive integers from a to b, including a and b. Find the minimum size of a set S such that for every integer interval A in intervals, the intersection of S with A has a size of at least two. ","Array,Greedy,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5",Hard,43.1,35767,15431,,445,59,,,
Bold Words in String,bold-words-in-string,760,,"Array,Hash Table,String,Trie,String Matching","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjI3,VG9waWNUYWdOb2RlOjYxMDUy",Medium,50.2,32809,16464,,234,117,"First, determine which letters are bold and store that information in mask[i] = if i-th character is bold.
Then, insert the tags at the beginning and end of groups.  The start of a group is if and only if (mask[i] and (i == 0 or not mask[i-1])), and the end of a group is similar.",,
Employee Free Time,employee-free-time,761,,"Array,Sorting,Heap (Priority Queue)","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUw",Hard,71.0,148539,105458,,1371,86,"Take all the intervals and do an ""events"" (or ""line sweep"") approach - an event of (x, OPEN) increases the number of active intervals, while (x, CLOSE) decreases it.

Processing in sorted order from left to right, if the number of active intervals is zero, then you crossed a region of common free time.","56,1028","Merge Intervals,Interval List Intersections"
Find Anagram Mappings,find-anagram-mappings,762,,"Array,Hash Table","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=",Easy,82.7,97445,80568,,484,194,"Create a hashmap so that D[x] = i  whenever B[i] = x.  Then, the answer is [D[x] for x in A].",,
