Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
Average Selling Price,average-selling-price,1390,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,83.4,40288,33596,,220,22,,,
Cells with Odd Values in a Matrix,cells-with-odd-values-in-a-matrix,1378,"There is an m x n matrix that is initialized to all 0's. There is also a 2D array indices where each indices[i] = [ri, ci] represents a 0-indexed location to perform some increment operations on the matrix. For each location indices[i], do both of the following: Given m, n, and indices, return the number of odd-valued cells in the matrix after applying the increment to all locations in indices. ","Array,Math,Simulation","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjYxMDU1",Easy,78.5,100037,78528,,732,1086,"Simulation : With small constraints, it is possible to apply changes to each row and column and count odd cells after applying it. You can accumulate the number you should add to each row and column and then you can count the number of odd cells.",,
Reconstruct a 2-Row Binary Matrix,reconstruct-a-2-row-binary-matrix,1379,"Given the following details of a matrix with n columns and 2 rows : Your task is to reconstruct the matrix with upper, lower and colsum. Return it as a 2-D integer array. If there are more than one valid solution, any of them will be accepted. If no valid solution exists, return an empty 2-D array. ","Array,Greedy,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDUz",Medium,43.3,44217,19131,,320,25,"You cannot do anything about colsum[i] = 2 case or colsum[i] = 0 case. Then you put colsum[i] = 1 case to the upper row until upper has reached. Then put the rest into lower row. Fill 0 and 2 first, then fill 1 in the upper row or lower row in turn but be careful about exhausting permitted 1s in each row.",1711,Find Valid Matrix Given Row and Column Sums
Number of Closed Islands,number-of-closed-islands,1380,"Given a 2D grid consists of 0s (land) and 1s (water).  An island is a maximal 4-directionally connected group of 0s and a closed island is an island totally (all left, top, right, bottom) surrounded by 1s. Return the number of closed islands. ","Array,Depth-First Search,Breadth-First Search,Union Find,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjIz,VG9waWNUYWdOb2RlOjYxMDUz",Medium,63.3,133520,84486,,1755,39,Exclude connected group of 0s on the corners because they are not closed island. Return number of connected component of 0s on the grid.,,
Maximum Score Words Formed by Letters,maximum-score-words-formed-by-letters,1381,"Given a list of words, list of  single letters (might be repeating) and score of every character. Return the maximum score of any valid set of words formed by using the given letters (words[i] cannot be used two or more times). It is not necessary to use all characters in letters and each letter can only be used once. Score of letters 'a', 'b', 'c', ... ,'z' is given by score[0], score[1], ... , score[25] respectively. ","Array,String,Dynamic Programming,Backtracking,Bit Manipulation,Bitmask","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjYxMDc4",Hard,72.1,29091,20969,,634,39,Note that words.length is small. This means you can iterate over every subset of words (2^N).,2272,Maximum Good People Based on Statements
Encode Number,encode-number,1189,,"Math,String,Bit Manipulation","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE5",Medium,69.7,9163,6387,,62,215,Try to find the number of binary digits returned by the function. The pattern is to start counting from zero after determining the number of binary digits.,1070,Convert to Base -2
Smallest Common Region,smallest-common-region,1190,,"Array,Hash Table,String,Tree,Depth-First Search,Breadth-First Search","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy",Medium,63.1,22242,14031,,299,27,Try to model the problem as a graph problem. The given graph is a tree. The problem is reduced to finding the lowest common ancestor of two nodes in a tree.,"235,236","Lowest Common Ancestor of a Binary Search Tree,Lowest Common Ancestor of a Binary Tree"
Synonymous Sentences,synonymous-sentences,1191,,"Array,Hash Table,String,Backtracking,Union Find","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjIz",Medium,56.3,23346,13142,,223,88,"Find all synonymous groups of words. Use union-find data structure. By backtracking, generate all possible statements.",,
Handshakes That Don't Cross,handshakes-that-dont-cross,1213,,"Math,Dynamic Programming","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz",Hard,56.0,8828,4941,,107,8,"Use dynamic programming. Let dp[n] be the number of ways that n people can handshake. Then fix a person as a pivot and turn for every other person who will have a handshake, the answer is the sum of the products of the new two subproblems.",,
Shift 2D Grid,shift-2d-grid,1386,Given a 2D grid of size m x n and an integer k. You need to shift the grid k times. In one shift operation: Return the 2D grid after applying shift operation k times. ,"Array,Matrix,Simulation","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDUz,VG9waWNUYWdOb2RlOjYxMDU1",Easy,68.1,120921,82405,,1379,289,Simulate step by step. move grid[i][j] to grid[i][j+1]. handle last column of the grid. Put the matrix row by row to a vector. take k % vector.length and move last k of the vector to the beginning. put the vector to the matrix back the same way.,,
Find Elements in a Contaminated Binary Tree,find-elements-in-a-contaminated-binary-tree,1387,"Given a binary tree with the following rules: Now the binary tree is contaminated, which means all treeNode.val have been changed to -1. Implement the FindElements class: ","Hash Table,Tree,Depth-First Search,Breadth-First Search,Design,Binary Tree","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDU3",Medium,75.7,57069,43222,,585,77,Use DFS to traverse the binary tree and recover it. Use a hashset to store TreeNode.val for finding.,,
Greatest Sum Divisible by Three,greatest-sum-divisible-by-three,1388,"Given an array nums of integers, we need to find the maximum possible sum of elements of the array such that it is divisible by three. ","Array,Dynamic Programming,Greedy","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE3",Medium,50.8,73929,37564,,1184,34,"Represent the state as DP[pos][mod]: maximum possible sum starting in the position ""pos"" in the array where the current sum modulo 3 is equal to mod.",,
Minimum Moves to Move a Box to Their Target Location,minimum-moves-to-move-a-box-to-their-target-location,1389,"A storekeeper is a game in which the player pushes boxes around in a warehouse trying to get them to target locations. The game is represented by an m x n grid of characters grid where each element is a wall, floor, or box. Your task is to move the box 'B' to the target position 'T' under the following rules: Return the minimum number of pushes to move the box to the target. If there is no way to reach the target, return -1. ","Array,Breadth-First Search,Heap (Priority Queue),Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDUz",Hard,48.3,42748,20639,,616,47,"We represent the search state as (player_row, player_col, box_row, box_col). You need to count only the number of pushes. Then inside of your BFS check if the box could be pushed (in any direction) given the current position of the player.",,
Page Recommendations,page-recommendations,1399,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Medium,67.7,33052,22371,,137,11,,"2046,2097","Page Recommendations II,Strong Friendship"
Print Immutable Linked List in Reverse,print-immutable-linked-list-in-reverse,1404,,"Linked List,Two Pointers,Stack,Recursion","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjMx",Medium,94.3,42131,39724,,423,74,,,
Minimum Time Visiting All Points,minimum-time-visiting-all-points,1395,"On a 2D plane, there are n points with integer coordinates points[i] = [xi, yi]. Return the minimum time in seconds to visit all the points in the order given by points. You can move according to these rules: ","Array,Math,Geometry","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjM4",Easy,79.1,144200,114133,,1171,156,To walk from point A to point B there will be an optimal strategy to walk ? Advance in diagonal as possible then after that go in straight line. Repeat the process until visiting all the points.,,
Count Servers that Communicate,count-servers-that-communicate,1396,"You are given a map of a server center, represented as a m * n integer matrix grid, where 1 means that on that cell there is a server and 0 means that it is no server. Two servers are said to communicate if they are on the same row or on the same column.

Return the number of servers that communicate with any other server. ","Array,Depth-First Search,Breadth-First Search,Union Find,Matrix,Counting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjIz,VG9waWNUYWdOb2RlOjYxMDUz,VG9waWNUYWdOb2RlOjYxMDYy",Medium,58.3,68986,40205,,849,73,Store number of computer in each row and column. Count all servers that are not isolated.,,
Search Suggestions System,search-suggestions-system,1397,You are given an array of strings products and a string searchWord. Design a system that suggests at most three product names from products after each character of searchWord is typed. Suggested products should have common prefix with searchWord. If there are more than three products with a common prefix return the three lexicographically minimums products. Return a list of lists of the suggested products after each character of searchWord is typed. ,"Array,String,Trie","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjI3",Medium,65.4,229349,149953,,2209,132,Brute force is a good choice because length of the string is ≤ 1000. Binary search the answer. Use Trie data structure to store the best three matching. Traverse the Trie.,,
Number of Ways to Stay in the Same Place After Some Steps,number-of-ways-to-stay-in-the-same-place-after-some-steps,1398,"You have a pointer at index 0 in an array of size arrLen. At each step, you can move 1 position to the left, 1 position to the right in the array, or stay in the same place (The pointer should not be placed outside the array at any time). Given two integers steps and arrLen, return the number of ways such that your pointer still at index 0 after exactly steps steps. Since the answer may be too large, return it modulo 109 + 7. ",Dynamic Programming,VG9waWNUYWdOb2RlOjEz,Hard,43.4,63005,27329,,531,30,"Try with Dynamic programming, dp(pos,steps): number of ways to back pos = 0 using exactly ""steps"" moves. Notice that the computational complexity does not depend of ""arrlen"".",,
All People Report to the Given Manager,all-people-report-to-the-given-manager,1405,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Medium,88.1,42601,37516,,284,22,,,
Hexspeak,hexspeak,1199,,"Math,String","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw",Easy,56.3,13881,7816,,57,104,Convert the given number to hexadecimal. Replace all 0 and 1 with 'O' and 'I'. Check if the final string has any numerical digits.,,
Remove Interval,remove-interval,1200,,Array,VG9waWNUYWdOb2RlOjU=,Medium,61.1,31282,19126,,266,20,Solve the problem for every interval alone. Divide the problem into cases according to the position of the two intervals.,,
Delete Tree Nodes,delete-tree-nodes,1201,,"Tree,Depth-First Search,Breadth-First Search","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy",Medium,61.2,13575,8307,,190,59,Traverse the tree using depth first search. Find for every node the sum of values of its sub-tree. Traverse the tree again from the root and return once you reach a node with zero sum of values in its sub-tree.,,
Number of Ships in a Rectangle,number-of-ships-in-a-rectangle,1233,,"Array,Divide and Conquer,Interactive","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEy,VG9waWNUYWdOb2RlOjYxMDU5",Hard,68.6,25259,17325,,364,43,Use divide and conquer technique. Divide the query rectangle into 4 rectangles. Use recursion to continue with the rectangles that has ships only.,,
Find Winner on a Tic Tac Toe Game,find-winner-on-a-tic-tac-toe-game,1400,"Tic-tac-toe is played by two players A and B on a 3 x 3 grid. The rules of Tic-Tac-Toe are: Given a 2D integer array moves where moves[i] = [rowi, coli] indicates that the ith move will be played on grid[rowi][coli]. return the winner of the game if it exists (A or B). In case the game ends in a draw return ""Draw"". If there are still movements to play return ""Pending"". You can assume that moves is valid (i.e., it follows the rules of Tic-Tac-Toe), the grid is initially empty, and A will play first. ","Array,Hash Table,Matrix,Simulation","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjYxMDUz,VG9waWNUYWdOb2RlOjYxMDU1",Easy,54.8,133041,72953,,841,221,"It's straightforward to check if A or B won or not, check for each row/column/diag if all the three are the same. Then if no one wins, the game is a draw iff the board is full, i.e. moves.length = 9 otherwise is pending.",,
Number of Burgers with No Waste of Ingredients,number-of-burgers-with-no-waste-of-ingredients,1401,"Given two integers tomatoSlices and cheeseSlices. The ingredients of different burgers are as follows: Return [total_jumbo, total_small] so that the number of remaining tomatoSlices equal to 0 and the number of remaining cheeseSlices equal to 0. If it is not possible to make the remaining tomatoSlices and cheeseSlices equal to 0 return []. ",Math,VG9waWNUYWdOb2RlOjg=,Medium,50.6,35291,17865,,214,186,"Can we have an answer if the number of tomatoes is odd ? If we have answer will be there multiple answers or just one answer ? Let us define number of jumbo burgers as X and number of small burgers as Y
We have to find an x and y in this equation 1. 4X + 2Y = tomato 2. X + Y = cheese",,
