Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
Two Sum,two-sum,1,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. You can return the answer in any order. ","Array,Hash Table","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=",Easy,48.5,13207990,6403821,,31242,988,"A really brute force way would be to search for all possible pairs of numbers but that would be too slow. Again, it's best to try out brute force solutions for just for completeness. It is from these brute force solutions that you can come up with optimizations. So, if we fix one of the numbers, say x, we have to scan the entire array to find the next number y which is value - x where value is the input parameter. Can we change our array somehow so that this search becomes faster? The second train of thought is, without changing the array, can we use additional space somehow? Like maybe a hash map to speed up the search?","15,18,167,170,560,653,1083,1798,1830,2116,2133,2320","3Sum,4Sum,Two Sum II - Input Array Is Sorted,Two Sum III - Data structure design,Subarray Sum Equals K,Two Sum IV - Input is a BST,Two Sum Less Than K,Max Number of K-Sum Pairs,Count Good Meals,Count Number of Pairs With Absolute Difference K,Number of Pairs of Strings With Concatenation Equal to Target,Find All K-Distant Indices in an Array"
Add Two Numbers,add-two-numbers,2,"You are given two non-empty linked lists representing two non-negative integers. The digits are stored in reverse order, and each of their nodes contains a single digit. Add the two numbers and return the sum as a linked list. You may assume the two numbers do not contain any leading zero, except the number 0 itself. ","Linked List,Math,Recursion","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjMx",Medium,38.5,6987977,2690949,,17799,3682,,"43,67,371,415,445,1031,1774","Multiply Strings,Add Binary,Sum of Two Integers,Add Strings,Add Two Numbers II,Add to Array-Form of Integer,Add Two Polynomials Represented as Linked Lists"
Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,3,"Given a string s, find the length of the longest substring without repeating characters. ","Hash Table,String,Sliding Window","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjU1ODIx",Medium,33.0,9621884,3175843,,22941,1027,,"159,340,1034,1813,2209","Longest Substring with At Most Two Distinct Characters,Longest Substring with At Most K Distinct Characters,Subarrays with K Different Integers,Maximum Erasure Value,Number of Equal Count Substrings"
Median of Two Sorted Arrays,median-of-two-sorted-arrays,4,"Given two sorted arrays nums1 and nums2 of size m and n respectively, return the median of the two sorted arrays. The overall run time complexity should be O(log (m+n)). ","Array,Binary Search,Divide and Conquer","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjEy",Hard,34.0,3941694,1340565,,15987,1964,,,
Longest Palindromic Substring,longest-palindromic-substring,5,"Given a string s, return the longest palindromic substring in s. ","String,Dynamic Programming","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz",Medium,31.8,5618701,1784028,,17097,1005,"How can we reuse a previously computed palindrome to compute a larger palindrome? If “aba” is a palindrome, is “xabax” a palindrome? Similarly is “xabay” a palindrome? Complexity based hint:
If we use brute-force and check whether for every start and end position a substring is a palindrome we have O(n^2) start - end pairs and O(n) palindromic checks. Can we reduce the time for palindromic checks to O(1) by reusing some previous computation.","214,266,336,516,647","Shortest Palindrome,Palindrome Permutation,Palindrome Pairs,Longest Palindromic Subsequence,Palindromic Substrings"
Zigzag Conversion,zigzag-conversion,6,"The string ""PAYPALISHIRING"" is written in a zigzag pattern on a given number of rows like this: (you may want to display this pattern in a fixed font for better legibility) And then read line by line: ""PAHNAPLSIIGYIR"" Write the code that will take a string and make this conversion given a number of rows: ",String,VG9waWNUYWdOb2RlOjEw,Medium,41.4,1804469,747158,,3570,8234,,,
Reverse Integer,reverse-integer,7,"Given a signed 32-bit integer x, return x with its digits reversed. If reversing x causes the value to go outside the signed 32-bit integer range [-231, 231 - 1], then return 0. Assume the environment does not allow you to store 64-bit integers (signed or unsigned). ",Math,VG9waWNUYWdOb2RlOjg=,Medium,26.7,7589410,2022695,,6971,9596,,"8,190,2238","String to Integer (atoi),Reverse Bits,A Number After a Double Reversal"
String to Integer (atoi),string-to-integer-atoi,8,"Implement the myAtoi(string s) function, which converts a string to a 32-bit signed integer (similar to C/C++'s atoi function). The algorithm for myAtoi(string s) is as follows: Note: ",String,VG9waWNUYWdOb2RlOjEw,Medium,16.5,5960030,983656,,1583,4562,,"7,65,2168","Reverse Integer,Valid Number,Check if Numbers Are Ascending in a Sentence"
Palindrome Number,palindrome-number,9,"Given an integer x, return true if x is palindrome integer. An integer is a palindrome when it reads the same backward as forward. ",Math,VG9waWNUYWdOb2RlOjg=,Easy,52.3,3823313,2000757,,5593,2094,Beware of overflow when you reverse the integer.,"234,1375","Palindrome Linked List,Find Palindrome With Fixed Length"
Regular Expression Matching,regular-expression-matching,10,"Given an input string s and a pattern p, implement regular expression matching with support for '.' and '*' where: The matching should cover the entire input string (not partial). ","String,Dynamic Programming,Recursion","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjMx",Hard,28.2,2370376,668919,,7928,1177,,44,Wildcard Matching
