Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
Android Unlock Patterns,android-unlock-patterns,351,,"Dynamic Programming,Backtracking","VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE0",Medium,50.9,124639,63485,,92,88,,,
Data Stream as Disjoint Intervals,data-stream-as-disjoint-intervals,352,"Given a data stream input of non-negative integers a1, a2, ..., an, summarize the numbers seen so far as a list of disjoint intervals. Implement the SummaryRanges class: ","Binary Search,Design,Ordered Set","VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDcw",Hard,50.6,100079,50635,,625,158,,"228,436,715","Summary Ranges,Find Right Interval,Range Module"
Design Snake Game,design-snake-game,353,,"Array,Design,Queue,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjM0,VG9waWNUYWdOb2RlOjYxMDUz",Medium,38.1,155255,59171,,703,255,,,
Russian Doll Envelopes,russian-doll-envelopes,354,"You are given a 2D array of integers envelopes where envelopes[i] = [wi, hi] represents the width and the height of an envelope. One envelope can fit into another if and only if both the width and height of one envelope are greater than the other envelope's width and height. Return the maximum number of envelopes you can Russian doll (i.e., put one inside the other). Note: You cannot rotate an envelope. ","Array,Binary Search,Dynamic Programming,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDQ5",Hard,39.0,345525,134740,,2981,72,,"300,2123","Longest Increasing Subsequence,The Number of Weak Characters in the Game"
Design Twitter,design-twitter,355,"Design a simplified version of Twitter where users can post tweets, follow/unfollow another user, and is able to see the 10 most recent tweets in the user's news feed. Implement the Twitter class: ","Hash Table,Linked List,Design,Heap (Priority Queue)","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDUw",Medium,34.4,244506,84026,,1964,273,,1640,Design a File Sharing System
Line Reflection,line-reflection,356,,"Array,Hash Table,Math","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjg=",Medium,34.3,92431,31728,,225,479,"Find the smallest and largest x-value for all points. If there is a line then it should be at y = (minX + maxX) / 2. For each point, make sure that it has a reflected point in the opposite side.","149,447","Max Points on a Line,Number of Boomerangs"
Count Numbers with Unique Digits,count-numbers-with-unique-digits,357,"Given an integer n, return the count of all numbers with unique digits, x, where 0 <= x < 10n. ","Math,Dynamic Programming,Backtracking","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE0",Medium,50.6,200530,101429,,870,1223,"A direct way is to use the backtracking approach. Backtracking should contains three states which are (the current number, number of steps to get that number and a bitmask which represent which number is marked as visited so far in the current number). Start with state (0,0,0) and count all valid number till we reach number of steps equals to 10n. This problem can also be solved using a dynamic programming approach and some knowledge of combinatorics. Let f(k) = count of numbers with unique digits with length equals k. f(1) = 10, ..., f(k) = 9 * 9 * 8 * ... (9 - k + 2) [The first factor is 9 because a number cannot start with 0].",,
Rearrange String k Distance Apart,rearrange-string-k-distance-apart,358,,"Hash Table,String,Greedy,Sorting,Heap (Priority Queue),Counting","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDYy",Hard,37.0,139155,51469,,737,33,,"621,778,2300","Task Scheduler,Reorganize String,Construct String With Repeat Limit"
Logger Rate Limiter,logger-rate-limiter,359,,"Hash Table,Design","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjI1",Easy,74.9,292455,218984,,1209,160,,362,Design Hit Counter
Sort Transformed Array,sort-transformed-array,360,,"Array,Math,Two Pointers,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjYxMDQ5",Medium,53.4,99547,53117,,550,158,"x^2 + x  will form a parabola. Parameter A in:  A * x^2 + B * x + C dictates the shape of the parabola.
Positive A means the parabola remains concave (high-low-high), but negative A inverts the parabola to be convex (low-high-low).",1019,Squares of a Sorted Array
Bomb Enemy,bomb-enemy,361,,"Array,Dynamic Programming,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDUz",Medium,50.0,129539,64739,,769,93,,"2192,2200","Minimum Cost Homecoming of a Robot in a Grid,Stamping the Grid"
Design Hit Counter,design-hit-counter,362,,"Array,Hash Table,Binary Search,Design,Queue","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjM0",Medium,67.3,237572,159884,,1482,128,,359,Logger Rate Limiter
Max Sum of Rectangle No Larger Than K,max-sum-of-rectangle-no-larger-than-k,363,"Given an m x n matrix matrix and an integer k, return the max sum of a rectangle in the matrix such that its sum is no larger than k. It is guaranteed that there will be a rectangle with a sum no larger than k. ","Array,Binary Search,Dynamic Programming,Matrix,Ordered Set","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDUz,VG9waWNUYWdOb2RlOjYxMDcw",Hard,40.1,195205,78325,,1887,107,,,
Nested List Weight Sum II,nested-list-weight-sum-ii,364,,"Stack,Depth-First Search,Breadth-First Search","VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy",Medium,68.3,164928,112591,,960,289,,"339,565","Nested List Weight Sum,Array Nesting"
Water and Jug Problem,water-and-jug-problem,365,"You are given two jugs with capacities jug1Capacity and jug2Capacity liters. There is an infinite amount of water supply available. Determine whether it is possible to measure exactly targetCapacity liters using these two jugs. If targetCapacity liters of water are measurable, you must have targetCapacity liters of water contained within one or both buckets by the end. Operations allowed: ","Math,Depth-First Search,Breadth-First Search","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy",Medium,34.4,179289,61740,,761,1117,,,
Find Leaves of Binary Tree,find-leaves-of-binary-tree,366,,"Tree,Depth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU3",Medium,78.4,214014,167719,,2318,42,,,
Valid Perfect Square,valid-perfect-square,367,"Given a positive integer num, write a function which returns True if num is a perfect square else False. Follow up: Do not use any built-in library function such as sqrt. ","Math,Binary Search","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEx",Easy,43.0,821205,352896,,2164,229,,"69,633","Sqrt(x),Sum of Square Numbers"
