Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
4 Keys Keyboard,4-keys-keyboard,651,,"Math,Dynamic Programming","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz",Medium,54.1,40006,21647,,504,70,,650,2 Keys Keyboard
Find Duplicate Subtrees,find-duplicate-subtrees,652,"Given the root of a binary tree, return all duplicate subtrees. For each kind of duplicate subtrees, you only need to return the root node of any one of them. Two trees are duplicate if they have the same structure with the same node values. ","Hash Table,Tree,Depth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU3",Medium,55.7,262584,146375,,3150,294,,"297,449,606,2079","Serialize and Deserialize Binary Tree,Serialize and Deserialize BST,Construct String from Binary Tree,Delete Duplicate Folders in System"
Two Sum IV - Input is a BST,two-sum-iv-input-is-a-bst,653,"Given the root of a Binary Search Tree and a target number k, return true if there exist two elements in the BST such that their sum is equal to the given target. ","Hash Table,Two Pointers,Tree,Depth-First Search,Breadth-First Search,Binary Search Tree,Binary Tree","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjMw,VG9waWNUYWdOb2RlOjYxMDU3",Easy,58.7,515724,302894,,3536,199,,"1,167,170,1150","Two Sum,Two Sum II - Input Array Is Sorted,Two Sum III - Data structure design,Two Sum BSTs"
Maximum Binary Tree,maximum-binary-tree,654,You are given an integer array nums with no duplicates. A maximum binary tree can be built recursively from nums using the following algorithm: Return the maximum binary tree built from nums. ,"Array,Divide and Conquer,Stack,Tree,Monotonic Stack,Binary Tree","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEy,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjYxMDU0,VG9waWNUYWdOb2RlOjYxMDU3",Medium,83.5,250660,209305,,3578,294,,1040,Maximum Binary Tree II
Print Binary Tree,print-binary-tree,655,"Given the root of a binary tree, construct a 0-indexed m x n string matrix res that represents a formatted layout of the tree. The formatted layout matrix should be constructed using the following rules: Return the constructed matrix res. ","Tree,Depth-First Search,Breadth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjYxMDU3",Medium,59.7,84179,50218,,180,202,,,
Coin Path,coin-path,656,,"Array,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz",Hard,31.2,39684,12392,,218,97,,"198,213","House Robber,House Robber II"
Robot Return to Origin,robot-return-to-origin,657,"There is a robot starting at the position (0, 0), the origin, on a 2D plane. Given a sequence of its moves, judge if this robot ends up at (0, 0) after it completes its moves. You are given a string moves that represents the move sequence of the robot where moves[i] represents its ith move. Valid moves are 'R' (right), 'L' (left), 'U' (up), and 'D' (down). Return true if the robot returns to the origin after it finishes all of its moves, or false otherwise. Note: The way that the robot is ""facing"" is irrelevant. 'R' will always make the robot move to the right once, 'L' will always make it move left, etc. Also, assume that the magnitude of the robot's movement is the same for each move. ","String,Simulation","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDU1",Easy,75.0,435272,326558,,1657,713,,"547,2239","Number of Provinces,Execution of All Suffix Instructions Staying in a Grid"
Find K Closest Elements,find-k-closest-elements,658,"Given a sorted integer array arr, two integers k and x, return the k closest integers to x in the array. The result should also be sorted in ascending order. An integer a is closer to x than an integer b if: ","Array,Two Pointers,Binary Search,Sorting,Heap (Priority Queue)","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUw",Medium,44.5,627802,279285,,4180,420,,"374,375,719","Guess Number Higher or Lower,Guess Number Higher or Lower II,Find K-th Smallest Pair Distance"
Split Array into Consecutive Subsequences,split-array-into-consecutive-subsequences,659,"You are given an integer array nums that is sorted in non-decreasing order. Determine if it is possible to split nums into one or more subsequences such that both of the following conditions are true: Return true if you can split nums according to the above conditions, or false otherwise. A subsequence of an array is a new array that is formed from the original array by deleting some (can be none) of the elements without disturbing the relative positions of the remaining elements. (i.e., [1,3,5] is a subsequence of [1,2,3,4,5] while [1,3,2] is not). ","Array,Hash Table,Greedy,Heap (Priority Queue)","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDUw",Medium,45.7,151182,69029,,2124,548,,"347,1422","Top K Frequent Elements,Divide Array in Sets of K Consecutive Numbers"
Remove 9,remove-9,660,,Math,VG9waWNUYWdOb2RlOjg=,Hard,55.7,15952,8879,,136,171,,,
Image Smoother,image-smoother,661,"An image smoother is a filter of the size 3 x 3 that can be applied to each cell of an image by rounding down the average of the cell and the eight surrounding cells (i.e., the average of the nine cells in the blue smoother). If one or more of the surrounding cells of a cell is not present, we do not consider it in the average (i.e., the average of the four cells in the red smoother). Given an m x n integer matrix img representing the grayscale of an image, return the image after applying the smoother on each cell of it. ","Array,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDUz",Easy,54.2,117656,63743,,376,1580,,,
Maximum Width of Binary Tree,maximum-width-of-binary-tree,662,"Given the root of a binary tree, return the maximum width of the given tree. The maximum width of a tree is the maximum width among all levels. The width of one level is defined as the length between the end-nodes (the leftmost and rightmost non-null nodes), where the null nodes between the end-nodes that would be present in a complete binary tree extending down to that level are also counted into the length calculation. It is guaranteed that the answer will in the range of a 32-bit signed integer. ","Tree,Depth-First Search,Breadth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjYxMDU3",Medium,40.2,448427,180303,,4442,714,,,
Equal Tree Partition,equal-tree-partition,663,,"Tree,Depth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU3",Medium,41.2,66284,27304,,427,33,,,
Strange Printer,strange-printer,664,"There is a strange printer with the following two special properties: Given a string s, return the minimum number of turns the printer needed to print it. ","String,Dynamic Programming","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz",Hard,46.1,58534,26962,,836,80,,"546,1696","Remove Boxes,Strange Printer II"
Non-decreasing Array,non-decreasing-array,665,"Given an array nums with n integers, your task is to check if it could become non-decreasing by modifying at most one element. We define an array is non-decreasing if nums[i] <= nums[i + 1] holds for every i (0-based) such that (0 <= i <= n - 2). ",Array,VG9waWNUYWdOb2RlOjU=,Medium,21.5,795825,171208,,3571,664,,2205,Find Good Days to Rob the Bank
Path Sum IV,path-sum-iv,666,,"Array,Tree,Depth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU3",Medium,58.6,32972,19309,,278,373,,"112,113,124,437","Path Sum,Path Sum II,Binary Tree Maximum Path Sum,Path Sum III"
Beautiful Arrangement II,beautiful-arrangement-ii,667,"Given two integers n and k, construct a list answer that contains n different positive integers ranging from 1 to n and obeys the following requirement: Return the list answer. If there multiple valid answers, return any of them. ","Array,Math","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=",Medium,59.4,79255,47064,,656,955,,526,Beautiful Arrangement
Kth Smallest Number in Multiplication Table,kth-smallest-number-in-multiplication-table,668,"Nearly everyone has used the Multiplication Table. The multiplication table of size m x n is an integer matrix mat where mat[i][j] == i * j (1-indexed). Given three integers m, n, and k, return the kth smallest element in the m x n multiplication table. ",Binary Search,VG9waWNUYWdOb2RlOjEx,Hard,51.0,93964,47939,,1592,45,,"378,719,802","Kth Smallest Element in a Sorted Matrix,Find K-th Smallest Pair Distance,K-th Smallest Prime Fraction"
Trim a Binary Search Tree,trim-a-binary-search-tree,669,"Given the root of a binary search tree and the lowest and highest boundaries as low and high, trim the tree so that all its elements lies in [low, high]. Trimming the tree should not change the relative structure of the elements that will remain in the tree (i.e., any node's descendant should remain a descendant). It can be proven that there is a unique answer. Return the root of the trimmed binary search tree. Note that the root may change depending on the given bounds. ","Tree,Depth-First Search,Binary Search Tree,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjMw,VG9waWNUYWdOb2RlOjYxMDU3",Medium,66.2,345046,228414,,4658,236,,,
Maximum Swap,maximum-swap,670,You are given an integer num. You can swap two digits at most once to get the maximum valued number. Return the maximum valued number you can get. ,"Math,Greedy","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjE3",Medium,47.5,346736,164735,,2446,142,,321,Create Maximum Number
Second Minimum Node In a Binary Tree,second-minimum-node-in-a-binary-tree,671,"Given a non-empty special binary tree consisting of nodes with the non-negative value, where each node in this tree has exactly two or zero sub-node. If the node has two sub-nodes, then this node's value is the smaller value among its two sub-nodes. More formally, the property root.val = min(root.left.val, root.right.val) always holds. Given such a binary tree, you need to output the second minimum value in the set made of all the nodes' value in the whole tree. If no such second minimum value exists, output -1 instead.  ","Tree,Depth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU3",Easy,43.6,314726,137258,,1191,1462,,230,Kth Smallest Element in a BST
Bulb Switcher II,bulb-switcher-ii,672,"There is a room with n bulbs labeled from 1 to n that all are turned on initially, and four buttons on the wall. Each of the four buttons has a different functionality where: You must make exactly presses button presses in total. For each press, you may pick any of the four buttons to press. Given the two integers n and presses, return the number of different possible statuses after performing all presses button presses. ","Math,Bit Manipulation,Depth-First Search,Breadth-First Search","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy",Medium,50.9,33028,16807,,34,72,,"319,1491","Bulb Switcher,Number of Times Binary String Is Prefix-Aligned"
Number of Longest Increasing Subsequence,number-of-longest-increasing-subsequence,673,"Given an integer array nums, return the number of longest increasing subsequences. Notice that the sequence has to be strictly increasing. ","Array,Dynamic Programming,Binary Indexed Tree,Segment Tree","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjI4,VG9waWNUYWdOb2RlOjI5",Medium,40.8,267095,108909,,3377,163,,"300,674","Longest Increasing Subsequence,Longest Continuous Increasing Subsequence"
Longest Continuous Increasing Subsequence,longest-continuous-increasing-subsequence,674,"Given an unsorted array of integers nums, return the length of the longest continuous increasing subsequence (i.e. subarray). The subsequence must be strictly increasing. A continuous increasing subsequence is defined by two indices l and r (l < r) such that it is [nums[l], nums[l + 1], ..., nums[r - 1], nums[r]] and for each l <= i < r, nums[i] < nums[i + 1]. ",Array,VG9waWNUYWdOb2RlOjU=,Easy,48.3,394056,190453,,1660,164,,"673,727","Number of Longest Increasing Subsequence,Minimum Window Subsequence"
Cut Off Trees for Golf Event,cut-off-trees-for-golf-event,675,"You are asked to cut off all the trees in a forest for a golf event. The forest is represented as an m x n matrix. In this matrix: In one step, you can walk in any of the four directions: north, east, south, and west. If you are standing in a cell with a tree, you can choose whether to cut it off. You must cut off the trees in order from shortest to tallest. When you cut off a tree, the value at its cell becomes 1 (an empty cell). Starting from the point (0, 0), return the minimum steps you need to walk to cut off all the trees. If you cannot cut off all the trees, return -1. You are guaranteed that no two trees have the same height, and there is at least one tree needs to be cut off. ","Array,Breadth-First Search,Heap (Priority Queue),Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDUz",Hard,35.4,153723,54381,,890,514,,,
Implement Magic Dictionary,implement-magic-dictionary,676,"Design a data structure that is initialized with a list of different words. Provided a string, you should determine if you can change exactly one character in this string to match any word in the data structure. Implement the MagicDictionary class: ","Hash Table,String,Design,Trie","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjI3",Medium,56.5,110613,62529,,1002,179,,"208,720","Implement Trie (Prefix Tree),Longest Word in Dictionary"
Map Sum Pairs,map-sum-pairs,677,Design a map that allows you to do the following: Implement the MapSum class: ,"Hash Table,String,Design,Trie","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjI3",Medium,57.0,152526,86940,,1204,123,,1333,Sort the Jumbled Numbers
Valid Parenthesis String,valid-parenthesis-string,678,"Given a string s containing only three types of characters: '(', ')' and '*', return true if s is valid. The following rules define a valid string: ","String,Dynamic Programming,Stack,Greedy","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjE3",Medium,33.2,501767,166570,,3319,81,,"763,2221","Special Binary String,Check if a Parentheses String Can Be Valid"
24 Game,24-game,679,"You are given an integer array cards of length 4. You have four cards, each containing a number in the range [1, 9]. You should arrange the numbers on these cards in a mathematical expression using the operators ['+', '-', '*', '/'] and the parentheses '(' and ')' to get the value 24. You are restricted with the following rules: Return true if you can get such expression that evaluates to 24, and false otherwise. ","Array,Math,Backtracking","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjE0",Hard,48.7,128862,62810,,1168,218,,,
Valid Palindrome II,valid-palindrome-ii,680,"Given a string s, return true if the s can be palindrome after deleting at most one character from it. ","Two Pointers,String,Greedy","VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE3",Easy,39.4,1227426,483424,,5468,298,,"125,1178","Valid Palindrome,Valid Palindrome III"
Next Closest Time,next-closest-time,681,,"String,Enumeration","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDY2",Medium,46.4,202090,93777,,661,960,,,
Baseball Game,baseball-game,682,"You are keeping score for a baseball game with strange rules. The game consists of several rounds, where the scores of past rounds may affect future rounds' scores. At the beginning of the game, you start with an empty record. You are given a list of strings ops, where ops[i] is the ith operation you must apply to the record and is one of the following: Return the sum of all the scores on the record. The test cases are generated so that the answer fits in a 32-bit integer. ","Array,Stack,Simulation","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjYxMDU1",Easy,73.1,263535,192556,,1677,1637,,1720,Crawler Log Folder
K Empty Slots,k-empty-slots,683,,"Array,Binary Indexed Tree,Sliding Window,Ordered Set","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjI4,VG9waWNUYWdOb2RlOjU1ODIx,VG9waWNUYWdOb2RlOjYxMDcw",Hard,36.7,152505,56018,,725,653,,,
Redundant Connection,redundant-connection,684,"In this problem, a tree is an undirected graph that is connected and has no cycles. You are given a graph that started as a tree with n nodes labeled from 1 to n, with one additional edge added. The added edge has two different vertices chosen from 1 to n, and was not an edge that already existed. The graph is represented as an array edges of length n where edges[i] = [ai, bi] indicates that there is an edge between nodes ai and bi in the graph. Return an edge that can be removed so that the resulting graph is a tree of n nodes. If there are multiple answers, return the answer that occurs last in the input. ","Depth-First Search,Breadth-First Search,Union Find,Graph","VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjIz,VG9waWNUYWdOb2RlOjI0",Medium,61.1,317920,194287,,3572,286,,"685,721,2246","Redundant Connection II,Accounts Merge,Maximum Employees to Be Invited to a Meeting"
Redundant Connection II,redundant-connection-ii,685,"In this problem, a rooted tree is a directed graph such that, there is exactly one node (the root) for which all other nodes are descendants of this node, plus every node has exactly one parent, except for the root node which has no parents. The given input is a directed graph that started as a rooted tree with n nodes (with distinct values from 1 to n), with one additional directed edge added. The added edge has two different vertices chosen from 1 to n, and was not an edge that already existed. The resulting graph is given as a 2D-array of edges. Each element of edges is a pair [ui, vi] that represents a directed edge connecting nodes ui and vi, where ui is a parent of child vi. Return an edge that can be removed so that the resulting graph is a rooted tree of n nodes. If there are multiple answers, return the answer that occurs last in the given 2D-array. ","Depth-First Search,Breadth-First Search,Union Find,Graph","VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjIz,VG9waWNUYWdOb2RlOjI0",Hard,33.7,152361,51386,,1538,265,,684,Redundant Connection
Repeated String Match,repeated-string-match,686,"Given two strings a and b, return the minimum number of times you should repeat string a so that string b is a substring of it. If it is impossible for b​​​​​​ to be a substring of a after repeating it, return -1. Notice: string ""abc"" repeated 0 times is """", repeated 1 time is ""abc"" and repeated 2 times is ""abcabc"". ","String,String Matching","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDUy",Medium,33.5,358115,120112,,1388,896,,459,Repeated Substring Pattern
Longest Univalue Path,longest-univalue-path,687,"Given the root of a binary tree, return the length of the longest path, where each node in the path has the same value. This path may or may not pass through the root. The length of the path between two nodes is represented by the number of edges between them. ","Tree,Depth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU3",Medium,39.3,355853,139892,,3041,607,,"124,250,437","Binary Tree Maximum Path Sum,Count Univalue Subtrees,Path Sum III"
Knight Probability in Chessboard,knight-probability-in-chessboard,688,"On an n x n chessboard, a knight starts at the cell (row, column) and attempts to make exactly k moves. The rows and columns are 0-indexed, so the top-left cell is (0, 0), and the bottom-right cell is (n - 1, n - 1). A chess knight has eight possible moves it can make, as illustrated below. Each move is two cells in a cardinal direction, then one cell in an orthogonal direction. Each time the knight is to move, it chooses one of eight possible moves uniformly at random (even if the piece would go off the chessboard) and moves there. The knight continues moving until it has made exactly k moves or has moved off the chessboard. Return the probability that the knight remains on the board after it has stopped moving. ",Dynamic Programming,VG9waWNUYWdOb2RlOjEz,Medium,51.5,153524,79062,,1905,287,,576,Out of Boundary Paths
Maximum Sum of 3 Non-Overlapping Subarrays,maximum-sum-of-3-non-overlapping-subarrays,689,"Given an integer array nums and an integer k, find three non-overlapping subarrays of length k with maximum sum and return them. Return the result as a list of indices representing the starting position of each interval (0-indexed). If there are multiple answers, return the lexicographically smallest one. ","Array,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz",Hard,48.5,128154,62143,,1590,97,,123,Best Time to Buy and Sell Stock III
Employee Importance,employee-importance,690,"You have a data structure of employee information, including the employee's unique ID, importance value, and direct subordinates' IDs. You are given an array of employees employees where: Given an integer id that represents an employee's ID, return the total importance value of this employee and all their direct and indirect subordinates. ","Hash Table,Depth-First Search,Breadth-First Search","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy",Medium,63.9,268561,171639,,1562,1230,,339,Nested List Weight Sum
Stickers to Spell Word,stickers-to-spell-word,691,"We are given n different types of stickers. Each sticker has a lowercase English word on it. You would like to spell out the given string target by cutting individual letters from your collection of stickers and rearranging them. You can use each sticker more than once if you want, and you have infinite quantities of each sticker. Return the minimum number of stickers that you need to spell out target. If the task is impossible, return -1. Note: In all test cases, all words were chosen randomly from the 1000 most common US English words, and target was chosen as a concatenation of two random words. ","Dynamic Programming,Backtracking,Bit Manipulation,Bitmask","VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjYxMDc4",Hard,46.6,64079,29892,,708,68,"We want to perform an exhaustive search, but we need to speed it up based on the input data being random.  

For all stickers, we can ignore any letters that are not in the target word.  

When our candidate answer won't be smaller than an answer we have already found, we can stop searching this path.  

When a sticker dominates another, we shouldn't include the dominated sticker in our sticker collection.  [Here, we say a sticker `A` dominates `B` if `A.count(letter) >= B.count(letter)` for all letters.]",383,Ransom Note
Top K Frequent Words,top-k-frequent-words,692,"Given an array of strings words and an integer k, return the k most frequent strings. Return the answer sorted by the frequency from highest to lowest. Sort the words with the same frequency by their lexicographical order. ","Hash Table,String,Trie,Sorting,Heap (Priority Queue),Bucket Sort,Counting","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjI3,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDYw,VG9waWNUYWdOb2RlOjYxMDYy",Medium,54.3,682591,370829,,4346,245,,"347,1014,1919","Top K Frequent Elements,K Closest Points to Origin,Sort Features by Popularity"
Binary Number with Alternating Bits,binary-number-with-alternating-bits,693,"Given a positive integer, check whether it has alternating bits: namely, if two adjacent bits will always have different values. ",Bit Manipulation,VG9waWNUYWdOb2RlOjE5,Easy,60.8,150170,91374,,899,102,,191,Number of 1 Bits
Number of Distinct Islands,number-of-distinct-islands,694,,"Hash Table,Depth-First Search,Breadth-First Search,Union Find,Hash Function","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjIz,VG9waWNUYWdOb2RlOjYxMDY1",Medium,59.6,200971,119861,,1710,97,,"200,711,2035","Number of Islands,Number of Distinct Islands II,Count Sub Islands"
Max Area of Island,max-area-of-island,695,"You are given an m x n binary matrix grid. An island is a group of 1's (representing land) connected 4-directionally (horizontal or vertical.) You may assume all four edges of the grid are surrounded by water. The area of an island is the number of cells with a value 1 in the island. Return the maximum area of an island in grid. If there is no island, return 0. ","Array,Depth-First Search,Breadth-First Search,Union Find,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjIz,VG9waWNUYWdOb2RlOjYxMDUz",Medium,69.6,648302,450928,,5777,144,,"200,463,1845,2206","Number of Islands,Island Perimeter,Largest Submatrix With Rearrangements,Detonate the Maximum Bombs"
