Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
Flatten 2D Vector,flatten-2d-vector,251,,"Array,Two Pointers,Design,Iterator","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDY0",Medium,47.9,214619,102769,,562,313,"How many variables do you need to keep track? Two variables is all you need. Try with x and y. Beware of empty rows. It could be the first few rows. To write correct code, think about the invariant to maintain. What is it? The invariant is x and y must always point to a valid point in the 2d vector. Should you maintain your invariant ahead of time or right when you need it? Not sure? Think about how you would implement hasNext(). Which is more complex? Common logic in two different places should be refactored into a common method.","173,281,284,341","Binary Search Tree Iterator,Zigzag Iterator,Peeking Iterator,Flatten Nested List Iterator"
Meeting Rooms,meeting-rooms,252,,"Array,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDQ5",Easy,56.7,463131,262491,,1376,67,,"56,253","Merge Intervals,Meeting Rooms II"
Meeting Rooms II,meeting-rooms-ii,253,,"Array,Two Pointers,Greedy,Sorting,Heap (Priority Queue)","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUw",Medium,49.6,1250885,620539,,5384,104,"Think about how we would approach this problem in a very simplistic way. We will allocate rooms to meetings that occur earlier in the day v/s the ones that occur later on, right? If you've figured out that we have to sort the meetings by their start time, the next thing to think about is how do we do the allocation? There are two scenarios possible here for any meeting. Either there is no meeting room available and a new one has to be allocated, or a meeting room has freed up and this meeting can take place there. An important thing to note is that we don't really care which room gets freed up while allocating a room for the current meeting. As long as a room is free, our job is done. We already know the rooms we have allocated till now and we also know when are they due to get free because of the end times of the meetings going on in those rooms. We can simply check the room which is due to get vacated the earliest amongst all the allocated rooms. Following up on the previous hint, we can make use of a min-heap to store the end times of the meetings in various rooms. So, every time we want to check if any room is free or not, simply check the topmost element of the min heap as that would be the room that would get free the earliest out of all the other rooms currently occupied.

If the room we extracted from the top of the min heap isn't free, then no other room is. So, we can save time here and simply allocate a new room.","56,252,452,1184","Merge Intervals,Meeting Rooms,Minimum Number of Arrows to Burst Balloons,Car Pooling"
Factor Combinations,factor-combinations,254,,"Array,Backtracking","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE0",Medium,48.6,217685,105862,,890,48,,39,Combination Sum
Verify Preorder Sequence in Binary Search Tree,verify-preorder-sequence-in-binary-search-tree,255,,"Stack,Tree,Binary Search Tree,Recursion,Monotonic Stack,Binary Tree","VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjMw,VG9waWNUYWdOb2RlOjMx,VG9waWNUYWdOb2RlOjYxMDU0,VG9waWNUYWdOb2RlOjYxMDU3",Medium,47.5,134362,63813,,916,68,,144,Binary Tree Preorder Traversal
Paint House,paint-house,256,,"Array,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz",Medium,58.6,262070,153579,,1747,119,,"198,213,265,276","House Robber,House Robber II,Paint House II,Paint Fence"
Binary Tree Paths,binary-tree-paths,257,"Given the root of a binary tree, return all root-to-leaf paths in any order. A leaf is a node with no children. ","String,Backtracking,Tree,Depth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU3",Easy,58.5,857207,501173,,3949,181,,"113,1030,2217","Path Sum II,Smallest String Starting From Leaf,Step-By-Step Directions From a Binary Tree Node to Another"
Add Digits,add-digits,258,"Given an integer num, repeatedly add all its digits until the result has only one digit, and return it. ","Math,Simulation,Number Theory","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjYxMDU1,VG9waWNUYWdOb2RlOjYxMDY3",Easy,62.4,743480,463936,,2409,1642,"A naive implementation of the above process is trivial. Could you come up with other methods? What are all the possible results? How do they occur, periodically or randomly? You may find this Wikipedia article useful.","202,1082,2076,2264","Happy Number,Sum of Digits in the Minimum Number,Sum of Digits of String After Convert,Minimum Sum of Four Digit Number After Splitting Digits"
3Sum Smaller,3sum-smaller,259,,"Array,Two Pointers,Binary Search,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjYxMDQ5",Medium,50.3,227026,114177,,1232,124,,"15,16,611,1083","3Sum,3Sum Closest,Valid Triangle Number,Two Sum Less Than K"
Single Number III,single-number-iii,260,"Given an integer array nums, in which exactly two elements appear only once and all the other elements appear exactly twice. Find the two elements that appear only once. You can return the answer in any order. You must write an algorithm that runs in linear runtime complexity and uses only constant extra space. ","Array,Bit Manipulation","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE5",Medium,67.1,372615,250144,,3806,182,,"136,137","Single Number,Single Number II"
