Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
Height Checker,height-checker,1137,A school is trying to take an annual photo of all the students. The students are asked to stand in a single file line in non-decreasing order by height. Let this ordering be represented by the integer array expected where expected[i] is the expected height of the ith student in line. You are given an integer array heights representing the current order that the students are standing in. Each heights[i] is the height of the ith student in line (0-indexed). Return the number of indices where heights[i] != expected[i]. ,"Array,Sorting,Counting Sort","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDcy",Easy,74.3,262388,194845,,428,47,"Build the correct order of heights by sorting another array, then compare the two arrays.",,
Grumpy Bookstore Owner,grumpy-bookstore-owner,1138,"There is a bookstore owner that has a store open for n minutes. Every minute, some number of customers enter the store. You are given an integer array customers of length n where customers[i] is the number of the customer that enters the store at the start of the ith minute and all those customers leave after the end of that minute. On some minutes, the bookstore owner is grumpy. You are given a binary array grumpy where grumpy[i] is 1 if the bookstore owner is grumpy during the ith minute, and is 0 otherwise. When the bookstore owner is grumpy, the customers of that minute are not satisfied, otherwise, they are satisfied. The bookstore owner knows a secret technique to keep themselves not grumpy for minutes consecutive minutes, but can only use it once. Return the maximum number of customers that can be satisfied throughout the day. ","Array,Sliding Window","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjU1ODIx",Medium,56.7,92423,52409,,1115,93,"Say the store owner uses their power in minute 1 to X and we have some answer A.  If they instead use their power from minute 2 to X+1, we only have to use data from minutes 1, 2, X and X+1 to update our answer A.",,
Previous Permutation With One Swap,previous-permutation-with-one-swap,1139,"Given an array of positive integers arr (not necessarily distinct), return the lexicographically largest permutation that is smaller than arr, that can be made with exactly one swap (A swap exchanges the positions of two numbers arr[i] and arr[j]). If it cannot be done, then return the same array. ","Array,Greedy","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE3",Medium,51.8,58931,30533,,223,23,"You need to swap two values, one larger than the other.  Where is the larger one located?",,
Distant Barcodes,distant-barcodes,1140,"In a warehouse, there is a row of barcodes, where the ith barcode is barcodes[i]. Rearrange the barcodes so that no two adjacent barcodes are equal. You may return any answer, and it is guaranteed an answer exists. ","Array,Hash Table,Greedy,Sorting,Heap (Priority Queue),Counting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDYy",Medium,45.2,65587,29644,,828,36,We want to always choose the most common or second most common element to write next.  What data structure allows us to query this effectively?,,
Shortest Way to Form String,shortest-way-to-form-string,1051,,"String,Dynamic Programming,Greedy","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE3",Medium,58.3,97573,56838,,813,48,"Which conditions have to been met in order to be impossible to form the target string? If there exists a character in the target string which doesn't exist in the source string then it will be impossible to form the target string. Assuming we are in the case which is possible to form the target string, how can we assure the minimum number of used subsequences of source? For each used subsequence try to match the leftmost character of the current subsequence with the leftmost character of the target string, if they match then erase both character otherwise erase just the subsequence character whenever the current subsequence gets empty, reset it to a new copy of subsequence and increment the count, do this until the target sequence gets empty. Finally return the count.","392,808","Is Subsequence,Number of Matching Subsequences"
Confusing Number,confusing-number,1069,,Math,VG9waWNUYWdOb2RlOjg=,Easy,46.1,54203,24982,,161,90,Reverse each digit with their corresponding new digit if an invalid digit is found the return -1. After reversing the digits just compare the reversed number with the original number.,"246,1077","Strobogrammatic Number,Confusing Number II"
Campus Bikes,campus-bikes,1052,,"Array,Greedy,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5",Medium,58.1,103662,60230,,854,157,"Sort the elements by distance. In case of a tie, sort them by the index of the worker. After that, if there are still ties, sort them by the index of the bike.
Can you do this in less than O(nlogn) time, where n is the total number of pairs between workers and bikes? Loop the sorted elements and match each pair of worker and bike if the given worker and bike where not used.",1067,Campus Bikes II
Minimize Rounding Error to Meet Target,minimize-rounding-error-to-meet-target,1053,,"Array,Math,String,Greedy","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE3",Medium,44.6,16527,7370,,128,125,"If we have integer values in the array then we just need to subtract the target those integer values, so we reduced the problem. Similarly if we have non integer values we have two options to put them flor(value) or ceil(value) = floor(value) + 1, so the idea is to just subtract floor(value). Now the problem is different for each position we can sum just add 0 or 1 in order to sum the target, minimizing the deltas. This can be solved with DP.",,
All Paths from Source Lead to Destination,all-paths-from-source-lead-to-destination,511,,"Depth-First Search,Graph","VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjI0",Medium,41.9,86687,36343,,481,120,"What if we can reach to a cycle from the source node? Then the answer will be false, because we eventually get trapped in the cycle forever. What if the we can't reach to a cycle from the source node? Then we need to ensure that from all visited nodes from source the unique node with indegree = 0 is the destination node.",,
Missing Element in Sorted Array,missing-element-in-sorted-array,1059,,"Array,Binary Search","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx",Medium,55.0,169797,93372,,1268,51,First define a function f(x) that counts the number of missing elements until x. Then use binary search with the given function f(x) to find the kth missing element.,,
Lexicographically Smallest Equivalent String,lexicographically-smallest-equivalent-string,1058,,"String,Union Find","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjIz",Medium,69.2,10887,7539,,186,10,Model these equalities as edges of a graph. Group each connected component of the graph and assign each node of this component to the node with the lowest lexicographically character. Finally convert the string with the precalculated information.,,
