Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
Sort Characters By Frequency,sort-characters-by-frequency,451,"Given a string s, sort it in decreasing order based on the frequency of the characters. The frequency of a character is the number of times it appears in the string. Return the sorted string. If there are multiple answers, return any of them. ","Hash Table,String,Sorting,Heap (Priority Queue),Bucket Sort,Counting","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDYw,VG9waWNUYWdOb2RlOjYxMDYy",Medium,67.7,524140,354883,,4008,178,,"347,387,1741","Top K Frequent Elements,First Unique Character in a String,Sort Array by Increasing Frequency"
Minimum Number of Arrows to Burst Balloons,minimum-number-of-arrows-to-burst-balloons,452,"There are some spherical balloons taped onto a flat wall that represents the XY-plane. The balloons are represented as a 2D integer array points where points[i] = [xstart, xend] denotes a balloon whose horizontal diameter stretches between xstart and xend. You do not know the exact y-coordinates of the balloons. Arrows can be shot up directly vertically (in the positive y-direction) from different points along the x-axis. A balloon with xstart and xend is burst by an arrow shot at x if xstart <= x <= xend. There is no limit to the number of arrows that can be shot. A shot arrow keeps traveling up infinitely, bursting any balloons in its path. Given the array points, return the minimum number of arrows that must be shot to burst all balloons. ","Array,Greedy,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5",Medium,52.9,351182,185715,,3362,97,,"253,435","Meeting Rooms II,Non-overlapping Intervals"
Minimum Moves to Equal Array Elements,minimum-moves-to-equal-array-elements,453,"Given an integer array nums of size n, return the minimum number of moves required to make all array elements equal. In one move, you can increment n - 1 elements of the array by 1. ","Array,Math","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=",Medium,54.0,224354,121115,,1419,1548,,"462,2263,2273","Minimum Moves to Equal Array Elements II,Maximum Running Time of N Computers,Pour Water Between Buckets to Make Water Levels Equal"
4Sum II,4sum-ii,454,"Given four integer arrays nums1, nums2, nums3, and nums4 all of length n, return the number of tuples (i, j, k, l) such that: ","Array,Hash Table","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=",Medium,57.0,438276,249846,,3757,112,,18,4Sum
Assign Cookies,assign-cookies,455,"Assume you are an awesome parent and want to give your children some cookies. But, you should give each child at most one cookie. Each child i has a greed factor g[i], which is the minimum size of a cookie that the child will be content with; and each cookie j has a size s[j]. If s[j] >= g[i], we can assign the cookie j to the child i, and the child i will be content. Your goal is to maximize the number of your content children and output the maximum number. ","Array,Greedy,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5",Easy,50.7,319993,162255,,1404,157,,,
132 Pattern,132-pattern,456,"Given an array of n integers nums, a 132 pattern is a subsequence of three integers nums[i], nums[j] and nums[k] such that i < j < k and nums[i] < nums[k] < nums[j]. Return true if there is a 132 pattern in nums, otherwise, return false. ","Array,Binary Search,Stack,Monotonic Stack,Ordered Set","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjYxMDU0,VG9waWNUYWdOb2RlOjYxMDcw",Medium,30.9,344145,106371,,3199,176,,,
Circular Array Loop,circular-array-loop,457,"You are playing a game involving a circular array of non-zero integers nums. Each nums[i] denotes the number of indices forward/backward you must move if you are located at index i: Since the array is circular, you may assume that moving forward from the last element puts you on the first element, and moving backwards from the first element puts you on the last element. A cycle in the array consists of a sequence of indices seq of length k where: Return true if there is a cycle in nums, or false otherwise. ","Array,Hash Table,Two Pointers","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjk=",Medium,31.6,184536,58399,,343,302,,,
Poor Pigs,poor-pigs,458,"There are buckets buckets of liquid, where exactly one of the buckets is poisonous. To figure out which one is poisonous, you feed some number of (poor) pigs the liquid to see whether they will die or not. Unfortunately, you only have minutesToTest minutes to determine which bucket is poisonous. You can feed the pigs according to these steps: Given buckets, minutesToDie, and minutesToTest, return the minimum number of pigs needed to figure out which bucket is poisonous within the allotted time. ","Math,Dynamic Programming,Combinatorics","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDU2",Hard,55.5,60162,33406,,630,1144,"What if you only have one shot? Eg. 4 buckets, 15 mins to die, and 15 mins to test. How many states can we generate with x pigs and T tests? Find minimum x such that (T+1)^x >= N",,
Repeated Substring Pattern,repeated-substring-pattern,459,"Given a string s, check if it can be constructed by taking a substring of it and appending multiple copies of the substring together. ","String,String Matching","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDUy",Easy,43.6,545164,237600,,3266,312,,"28,686","Implement strStr(),Repeated String Match"
LFU Cache,lfu-cache,460,"Design and implement a data structure for a Least Frequently Used (LFU) cache. Implement the LFUCache class: To determine the least frequently used key, a use counter is maintained for each key in the cache. The key with the smallest use counter is the least frequently used key. When a key is first inserted into the cache, its use counter is set to 1 (due to the put operation). The use counter for a key in the cache is incremented either a get or put operation is called on it. The functions get and put must each run in O(1) average time complexity. ","Hash Table,Linked List,Design,Doubly-Linked List","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDU4",Hard,39.3,381837,150130,,3133,205,,"146,588","LRU Cache,Design In-Memory File System"
Hamming Distance,hamming-distance,461,"The Hamming distance between two integers is the number of positions at which the corresponding bits are different. Given two integers x and y, return the Hamming distance between them. ",Bit Manipulation,VG9waWNUYWdOb2RlOjE5,Easy,74.5,630915,469900,,3021,197,,"191,477","Number of 1 Bits,Total Hamming Distance"
